iter	Passed	Remaining
232	678	2234
233	679	2225
234	681	2219
235	682	2210
236	683	2202
237	684	2193
238	685	2183
239	686	2175
240	687	2166
241	688	2157
242	689	2149
243	691	2141
244	691	2132
245	692	2123
246	694	2116
247	695	2107
248	695	2098
249	696	2090
250	697	2081
251	698	2072
252	699	2064
253	699	2055
254	700	2047
255	701	2038
256	702	2030
257	703	2022
258	704	2014
259	704	2006
260	705	1998
261	706	1990
262	707	1982
263	708	1976
264	709	1968
265	710	1960
266	711	1952
267	712	1944
268	712	1937
269	713	1929
270	714	1922
271	715	1914
272	716	1907
273	716	1899
274	717	1892
275	718	1885
276	719	1877
277	720	1870
278	721	1864
279	722	1857
280	723	1850
281	724	1843
282	724	1836
283	725	1829
284	726	1822
285	727	1815
286	728	1808
287	728	1802
288	729	1795
289	730	1788
290	731	1782
291	732	1775
292	733	1769
293	733	1762
294	734	1756
295	736	1750
296	737	1744
297	737	1738
298	738	1731
299	739	1725
300	740	1719
301	741	1713
302	742	1706
303	742	1700
304	743	1694
305	744	1688
306	745	1682
307	746	1676
308	746	1670
309	747	1664
310	748	1658
311	750	1654
312	751	1648
313	751	1642
314	752	1636
315	753	1631
316	754	1625
317	755	1619
318	756	1613
319	756	1608
320	757	1602
321	758	1597
322	759	1591
323	760	1585
324	760	1580
325	761	1574
326	762	1569
327	764	1565
328	764	1560
329	765	1554
330	766	1549
331	767	1543
332	768	1538
333	768	1533
334	769	1528
335	770	1522
336	771	1517
337	772	1512
338	772	1507
339	773	1502
340	774	1497
341	775	1491
342	776	1486
343	777	1482
344	778	1477
345	779	1473
346	780	1468
347	781	1463
348	782	1459
349	783	1454
350	784	1450
351	785	1445
352	786	1441
353	787	1437
354	788	1432
355	789	1427
356	789	1422
357	791	1418
358	792	1414
359	793	1410
360	793	1405
361	794	1400
362	795	1396
363	796	1391
364	797	1387
365	798	1382
366	798	1378
367	799	1373
368	800	1369
369	801	1364
370	802	1360
371	803	1355
372	803	1351
373	804	1346
374	806	1344
375	807	1340
376	808	1336
377	809	1331
378	810	1327
379	810	1323
380	811	1318
381	812	1314
382	813	1310
383	814	1306
384	815	1301
385	815	1297
386	816	1293
387	817	1289
388	818	1285
389	819	1282
390	820	1278
391	821	1273
392	822	1269
393	822	1265
394	823	1261
395	824	1257
396	825	1253
397	826	1249
398	827	1245
399	827	1241
400	828	1237
401	829	1233
402	830	1229
403	831	1226
404	831	1222
405	832	1218
406	834	1215
407	835	1211
408	835	1207
409	836	1204
410	837	1200
411	838	1196
412	839	1192
413	840	1189
414	840	1185
415	841	1181
416	842	1177
417	843	1174
418	844	1170
419	844	1166
420	845	1163
421	846	1159
422	847	1156
423	848	1152
424	849	1149
425	850	1145
426	851	1142
427	851	1138
428	852	1134
429	853	1131
430	854	1127
431	855	1124
432	856	1120
433	856	1117
434	857	1113
435	858	1110
436	859	1107
437	860	1103
438	861	1100
439	862	1097
440	863	1094
441	863	1090
442	864	1087
443	865	1084
444	866	1080
445	867	1077
446	868	1073
447	868	1070
448	869	1067
449	870	1063
450	871	1060
451	872	1057
452	872	1054
453	873	1050
454	874	1047
